"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Contact form","Submitting a request","3","0","6","0","0"
"","Product Catalog","The one where Sally searches for a product that doesn't exist","0","0","1","0","0"
"","Searching for products","Searching by keyword","0","0","2","0","0"
"","Product Catalog","Sally sorts by different criteria","0","0","4","0","0"
"","Product Catalog","The one where Sally only wants to see Hand Saws","0","0","1","0","0"
"","Shopping Cart","Check out","0","0","2","0","0"
"","Product Catalog","The one where Sally searches for a more general term","0","0","1","0","0"
"","Searching for products","Clearing the previous search results","0","0","1","0","0"
"","Product Catalog","The one where Sally searches for an Adjustable Wrench","0","0","1","0","0"
